source,phone,review,rating
vw.com,galaxy,Just got this phone last friday 7th of Dec. Haven't been able to truly enjoy it because of having to deal with bixby. I have been told by samsung that it is an important part of the S9. The bixby home button is too close to the volume control. just like on the S8. I have no need for bixby. And,3
vw.com,galaxy,"First of all, I'll address some of the common negative reviews about the Galaxy S9 and how to fix those issues. Screen: While the curved screen is a nice feature, it makes it very difficult to find a screen protector that works well and installing a screen protector on the S9 without bubbles is n",4
vw.com,galaxy,Phone works well. Samsung needs better sounds/ Ringtones and emoji's are too small. finger print scan and face recognition work good. Camera is good,4
vw.com,galaxy,"I have had a few of the Galaxy series phones. While this was is packed full of features, it tends to move slowly. I would have thought that speeds would have been much faster. Nope. Also, loading apps and utilities are a bit cumbersome. Otherwise, it functions as it should.",3
vw.com,galaxy,"My wife and I have the same phone but unfortunately hers has had audio issues. The audio when talking on the handset or speakerphone is often muted or muffled-sounds like she's underwater. VZW replaced it with another one and now, it's doing the same thing. Super frustrated because I'm constantly",2
vw.com,galaxy,"The phone is awesome. I went from the S7 to the S9. I love that it has so much storage for my pictures. The camera is terrific as well. However, they took away the feature where you can assign specific text tones to people. This comes in handy at work where I cannot always check my phone. I miss bei",4
vw.com,galaxy,This phone has several apps that constantly run in the background and the button to disable is greyed out. Also can't force stop. These apps are using data. Such as Bixby and Game Launch among many others. It also uses data for Face under other apps when I don't even use my face nor have I regis,1
vw.com,galaxy,"The amount of internal storage on the Galaxy S9 is impressive. Compared to the 16GB I had with my S5, the 64GB is a welcomed improvement. Nearly every time my apps updated, I would get a "" storage"" message. My only concern is with the card holder tray as opposed to the previous direct slots",4
vw.com,galaxy,"Everything they say about this phone's technical quality etc. is true. For these aspects, it's probably still the best phone available. I buy android over iphone so I can have more control over my phone. Things you can't control on the Galaxy. Bixby app still sucks compared to Google Assist",3
vw.com,galaxy,My camera had many issues . My download to install new update on my phone keep on getting stocked I have call several times to unlock phone due to this issue. S9 to S9 calls is a big issue you can not hear and not able to use bluetooth devices because it makes the connection worse when calling. Yes,2
vw.com,galaxy,I love that size and I love that battery life it’s a great phone great camara.best phone made by Samsung and that speakers are that best . That plus little too big for me,5
vw.com,galaxy,"I've heard of many suggestions, some make sense, some don't. I will type this with a real review. I've owed many phones. This s9, not even the plus, is the BEST phone I've ever used. The screen is a vision of beauty. The sound is crisp, clear and the best sounding Galaxy ever. I had my doubts after",5
